spartannash sweet_roll 2 8105279
spartannash smoked_mackerel 1 3818699
spartannash greengage_plum 3 5585590
spartannash kai_apple 2.33 885497
spartannash bluefin_tuna 1.89 4477747
spartannash yellow_squash 0.28 5175118
spartannash Rock_Cornish_hen 0.34 7827571
spartannash turnip 0.02 771766
tesco smoked_mackerel 1.02 2202401
tesco bluefin_tuna 2.23 5985224
tesco turnip 2.14 3072514
tesco Liederkranz 0.03 2168948
tesco kai_apple 2.58 769816
tesco dove 2.94 8848701
aldi smoked_mackerel 1 1521138
aldi sweet_roll 1.34 5584072
aldi Liederkranz 1.86 2268025
aldi turnip 0.73 3308170
aldi bluefin_tuna 2 9260827
aldi dove 2 1529197
aldi bitter_chocolate 0.83 2765662
aldi kai_apple 2 3107799
turcos bluefin_tuna 1.63 3037173
turcos sweet_roll 2.01 6891318
turcos Liederkranz 0.56 5042198
turcos smoked_mackerel 0.01 5279135
turcos dove 0.36 3242674
turcos Rock_Cornish_hen 0.4 7709693
turcos bitter_chocolate 2.2 7974259
turcos kai_apple 1.53 8750237
dierbergs dove 0.53 9311840
dierbergs bitter_chocolate 0.21 7124383
dierbergs smoked_mackerel 1 4694167
dierbergs sweet_roll 2.62 8937102
dierbergs turnip 1 5734699
dierbergs Rock_Cornish_hen 0.22 7215989
schnucks turnip 2.68 4848552
schnucks bitter_chocolate 2.65 8522112
schnucks greengage_plum 3 4150959
schnucks yellow_squash 0.57 3577651
schnucks bluefin_tuna 0.92 2201673
schnucks kai_apple 2.54 8023280
schnucks smoked_mackerel 2 2257454
schnucks sweet_roll 1.18 6876284
schnucks Rock_Cornish_hen 1.98 4477908
fairway Rock_Cornish_hen 1.53 5223030
fairway smoked_mackerel 1.53 5213559
fairway yellow_squash 1.08 6604141
fairway sweet_roll 1 7429936
fairway bluefin_tuna 1.66 6254726
fairway Liederkranz 2 8803233
fairway dove 2.49 2360667
fairway greengage_plum 0.77 4248198
traderjoes smoked_mackerel 0.44 934830
traderjoes turnip 1.1 3556432
traderjoes dove 0.28 3184603
traderjoes sweet_roll 0.0 8786670
traderjoes bitter_chocolate 1.95 4169001
traderjoes kai_apple 1.11 3496540
traderjoes yellow_squash 1.96 5914832
traderjoes bluefin_tuna 0.06 6057014
shoprite Liederkranz 2.01 6644306
shoprite kai_apple 0.53 2405286
shoprite greengage_plum 2.56 2723447
shoprite yellow_squash 2 3227102
shoprite turnip 3 5290134
shoprite smoked_mackerel 1 4139225
shoprite bitter_chocolate 1.74 5528527
wholefoods turnip 2.47 4807601
wholefoods Rock_Cornish_hen 2 4140646
wholefoods yellow_squash 0.98 3898724
wholefoods kai_apple 1.85 7301241
wholefoods greengage_plum 2.66 5301905
wholefoods smoked_mackerel 1 5229788
walmart bluefin_tuna 1 5213470
walmart Liederkranz 3 7283456
walmart kai_apple 0.91 7563984
walmart smoked_mackerel 2.0 4674186
walmart turnip 1.98 3881669
walmart bitter_chocolate 1.59 5252675
walmart dove 0.47 8814561
walmart sweet_roll 0.59 2820888
walmart greengage_plum 0.42 5501730
kroger bitter_chocolate 0.35 9156531
kroger greengage_plum 2.76 1341050
kroger Rock_Cornish_hen 0.53 2555452
kroger yellow_squash 2.35 3725665
kroger bluefin_tuna 2.85 830842
kroger turnip 0.45 -387128732
costco Liederkranz 2.1 1546811
costco kai_apple 2.04 7170072
costco greengage_plum 3 4549013
costco Rock_Cornish_hen 2.16 1583851
costco bluefin_tuna 0.75 3287440
costco bitter_chocolate 1 6413427
albertsons turnip 1.53 5751303
albertsons yellow_squash 2.39 5792166
albertsons smoked_mackerel 1.87 8283421
albertsons dove 0.9 4416465
albertsons kai_apple 1 7805942
albertsons Liederkranz 1.14 9208064
albertsons sweet_roll 1.23 7456094
albertsons bitter_chocolate 0.85 8249925
omni bluefin_tuna 0.1 1148599
omni dove 1 6284503
omni Liederkranz 1.74 3923929
omni yellow_squash 1.21 4936809
omni sweet_roll 2.65 5120344
omni Rock_Cornish_hen 1 8425198
omni kai_apple 2 4834221
foodland kai_apple 0.02 7142724
foodland bitter_chocolate 2.29 6872719
foodland Liederkranz 2.04 6567086
foodland Rock_Cornish_hen 1.85 9201280
foodland turnip 1 6677984
foodland smoked_mackerel 1.26 3922443
foodland bluefin_tuna 1.13 5490399
food_depot kai_apple 2.2 1280305
food_depot sweet_roll 1.43 6122580
food_depot bitter_chocolate 1.85 8879507
food_depot Rock_Cornish_hen 0.37 7477524
food_depot Liederkranz 2.45 7248231
food_depot greengage_plum 2.11 7616739
food_depot smoked_mackerel 3 8356425
food_depot dove 0.83 8822199
food_depot bluefin_tuna 0.6 6056844
meijer kai_apple 1.72 816852
meijer greengage_plum 1.02 2242413
meijer turnip 2.4 8853581
meijer bitter_chocolate 1.53 5900553
meijer Liederkranz 2.04 9004363
meijer yellow_squash 1 4005732
meijer Rock_Cornish_hen 1.73 3222412
kmart Liederkranz 1.78 791384
kmart dove 2 2315763
kmart kai_apple 0.03 8918610
kmart bluefin_tuna 0.06 3313429
kmart yellow_squash 1.35 7600141
kmart greengage_plum 2 2267494
kmart Rock_Cornish_hen 1.6 1716760
kmart sweet_roll 2.59 2509373
